item_title, company_name, item_price, item_shipping
Fallout New Vegas Ultimate Collection Xbox 360 Game,Bethesda Softworks,12.87,5.16
The Elder Scrolls V: Skyrim Legendary Edition Xbox 360 Game,Bethesda Softworks,16.06,2.99
Dragon Ball Xenoverse Xbox 360,Bandai Namco Entertainment America Inc,14.22,5.16
Red Dead Redemption: Game of The Year Edition Xbox 360 Game,Rockstar Games,19.99,0
Tom Clancy's Splinter Cell Blacklist (Xbox 360),Ubisoft,16.99,0
Hitman Absolution Xbox 360 Game,SQUARE ENIX USA,19.99,2.99
Fallout 3 Game of the Year Edition Xbox 360 Game,Bethesda Softworks,12.71,5.16
BW? 5 Pair/10 Pcs Replacement Silicone Analog Controller Joystick Thumb Stick Grips Cap Cover For PS3 / PS4 / Xbox 360 / Xbox One / Wii Game Controllers (black),NA,4.99,0
Portal 2 for Xbox 360,Electronic Arts,19.99,2.99
The Elder Scrolls IV: Oblivion Game of The Year Edition for Xbox 360,Bethesda Softworks,15.37,0
Sonic & Sega All-Stars Racing Xbox 360 Game,Sega,19.87,0
Bully: Scholarship Edition[backward Compatible With Xb3] (Taketwo Interactive),NA,11.99,7.99
Assassin's Creed 4: Black Flag - Xbox 360,Ubisoft,10.99,0
Lollipop Chainsaw - Xbox 360,Warner Brothers,9.99,7.99
Darksiders - Collection Xbox 360,Nordic Games Publishing,39.87,0
Farming Simulator 15 Xbox 360,Maximum Games,26.99,2.99
Batman: Arkham Origins Collector's Edition Xbox 360,Warner Brothers,201.95,0
Batman: Arkham Origins Xbox 360,Warner Brothers,22.69,0
Call of Duty: Modern Warfare Trilogy - Xbox 360,Activision,25.99,3.99
Grand Theft Auto V Xbox 360 Game,Rockstar Games,22.99,2.99
Call of Duty: Ghosts Xbox 360,Activision,15.91,0
Midnight Club: Los Angeles Complete Edtion Xbox 360 Game,Bandai Namco Entertainment America Inc,19.99,2.99
Minecraft Xbox 360,Microsoft,18.99,3.99
Halo: Reach Xbox 360 Game,Microsoft,22.13,0
Plants vs Zombies: Garden Warfare Xbox 360,Electronic Arts,20.46,2.99
LEGO Marvel's Avengers Xbox 360,Warner Brothers,19.75,0
Grand Theft Auto: Episodes from Liberty City Xbox 360 Game,TAKE 2 INTERACTIVE,16.70,0
Titanfall Xbox 360,Electronic Arts,9.75,0
Guitar Hero Live - Xbox 360,Activision,42.99,0
Grand Theft Auto IV Xbox 360 Game,Rockstar Games,21.00,0
LEGO Jurassic World Xbox 360,Warner Brothers,17.28,5.16
Halo 3 Xbox 360 Game,Microsoft,16.52,0
Just Dance Disney Party 2 - Xbox 360 Kinect,Ubisoft,9.99,0
Call of Duty 4: Modern Warfare Xbox 360 Game,Activision,31.19,0
Just Dance 3 Xbox 360 Game,Ubisoft,20.88,0
Rocksmith 2014 Edition (cable Included) Xbox 360 Game,Ubisoft,129.95,0
Lego Batman Xbox 360 Game,Warner Brothers,20.82,0
Lego Harry Potter: years 1-4 Xbox 360 Game,Warner Brothers,17.98,0
Xbox 360 Game,Rockstar Games,9.85,0
Lego Dimensions Starter Pack Xbox 360,Warner Brothers,22.99,0
Halo 4: Game of The Year Edition for Xbox 360,Microsoft,19.80,0
Syndicate Xbox 360 Game,Electronic Arts,22.41,0
LEGO Harry Potter: Years 5-7 - Sony PSP,Warner Brothers,1.99,7.99
Jieyuteks USB Xbox 360 Wireless Receiver for Windows PC Controller to Computer Gaming Platform Adapter with Driver CD,NA,13.99,0
Xbox 360 WWE All STARS BrawlPad Hulk Hogan and John Cena,MAD CATZ,41.47,0
Saints Row IV: National Treasure Edition  Xbox 360,Deep Silver Inc.,19.37,0
FIFA Soccer 13 Xbox 360 Game,Electronic Arts,9.41,0
Deus Ex: Human Revolution Xbox 360 Game,SQUARE ENIX USA,11.86,0
Metal Gear Solid V: Ground Zeroes Xbox 360,KONAMI,9.85,0
Michael Jackson Experience Xbox 360 Game,Ubisoft,4.99,7.99
NHL 2k10 Xbox 360 Game,2K GAMES,18.26,0
Sonic & All-Stars Racing Transformed Xbox 360 Game,Sega,20.13,0
Xbox 360 Game,Sega,19.87,0
FIFA 14 - Xbox 360,Electronic Arts,9.94,0
Far Cry 3,Ubisoft,23.68,0
Kinectimals Xbox 360 Game,Microsoft,17.19,0
Lego Batman 3: Beyond Gotham Xbox 360,Warner Brothers,22.69,0
Devil May Cry 4 Xbox 360 Game,Capcom,11.87,0
Watch Dogs - PC,Ubisoft,17.08,0
Lightning Returns Final Fantasy XIII Collector's Edition - Xbox 360,SQUARE ENIX USA,119.46,0
College Hoops 2K6 - Xbox 360,2K GAMES,59.66,0
Dragon Age: Inquisition Xbox 360,Electronic Arts,14.61,5.16
Capcom Digital Collection Xbox 360 Game,Capcom,38.11,0
Xbox 360 Game,Sega,18.07,0
TAKE-TWO TAK#49524 Grand Theft Auto V XOne,2K GAMES,42.04,0
Mortal Kombat Komplete Edition Xbox 360 Game,Warner Brothers,14.99,3.99
Tom Clancy's Splinter Cell Blacklist Paladin Multi-Mission Aircraft Edition (Xbox 360),Ubisoft,155.03,0
Halo: Combat Evolved Anniversary Xbox 360 Game,Microsoft,13.67,5.16
Guitar Hero: Van Halen (Software Only) Xbox 360 Game,Activision,46.73,0
Big League Sports (Kinect) Xbox 360 Game,Activision,38.11,0
Call Of Duty: Advanced Warfare Gold Edition W/DLC Xbox 360,Activision,27.50,1.99
Kinectimals 2: Now with Bears! Xbox 360 Game,Microsoft,25.31,0
Max Payne 3 Special Edition Xbox 360 Game,Rockstar Games,89.99,0
Call OF Duty Black OPS III - Xbox 360,Activision,19.70,1.99
Need for Speed Most Wanted (2012) Xbox 360 Game,Electronic Arts,17.03,5.16
DeadPool Xbox 360 Game,Activision,18.33,0.99
Just Dance 2019 - Xbox 360,Ubisoft,39.99,0
Call Of Duty Black OPS 1 & 2 Combo Xbox 360,Activision,33.99,0
Virtua Tennis 2009 Xbox 360 Game,Sega,25.89,0
Call of Duty: World at War Platinum Hits - Xbox 360,Activision,25.59,0
Guitar Hero: Warriors of Rock Xbox 360 (game only),Activision,50.24,0
Disney INFINITY Starter Pack Xbox 360,Disney Interactive Studios,128.95,0
The Crew Xbox 360,Ubisoft,24.69,0
Guitar Hero: Warriors of Rock Guitar Bundle Xbox 360 Game,Activision,418.04,0
Skate 3 Xbox 360 Game,Electronic Arts,22.41,0
Disney INFINITY: Toy Box Bundle Pack (2.0 Edition) Xbox 360,Disney Interactive Studios,21.00,3.99
Wipeout 3 Xbox 360 Game,Activision,19.99,0
Rock Band: Metal Track Pack Xbox 360 Game,Electronic Arts,20.07,0
Mortal Kombat Vs. DC Universe Xbox 360 Game,Warner Brothers,15.34,5.16
Guitar Hero: Aerosmith Xbox 360 Game,Activision,5.99,0
The Evil Within - Xbox 360,Bethesda Softworks,14.99,0
NHL 14 for Xbox 360,Electronic Arts,37.94,0
Madden 13,Electronic Arts,32.48,8.95
Gears of War: Judgment Xbox 360 Game,Microsoft,9.85,0
Simpsons: The Game Xbox 360 Game,Electronic Arts,135.70,0
Grand Theft Auto:  San Andreas Xbox 360,Rockstar Games,18.89,0
Terraria Xbox 360,505 Games,22.58,0
Call of Duty: Modern Warfare 2 Platinum (English) Xbox 360,Activision,19.52,6.19
Disney Infinity 3.0 Star Wars Pack Xbox 360,Disney Interactive Studios,14.98,0
Castlevania: Lords of Shadow 2 Xbox 360,KONAMI,11.59,0
Thief Xbox 360,SQUARE ENIX USA,10.44,0
The walking dead: game of the year edition Xbox 360,NA,37.37,0
Just Dance 2018 - Xbox 360,Ubisoft,38.18,0
Rise of the Tomb Raider Xbox 360,SQUARE ENIX USA,40.25,0
Bioshock Infinite: The Complete Edition Xbox 360,TAKE 2 INTERACTIVE,38.11,0
Just Dance 2017 - Xbox 360,Ubisoft,18.99,0
Command & Conquer: Red Alert 3 Xbox 360 Game,Electronic Arts,34.34,0
Ace Combat: Assault Horizon Xbox 360 Game,Bandai Namco Entertainment America Inc,33.95,0
Mass Effect Trilogy Xbox 360 Game,Electronic Arts,32.23,0
Doom 3 - BFG Edition,Bethesda Softworks,28.87,0
2.4G Wireless Gamepad Joypad Game Remote Controller Joystick With Pc Reciever For Microsoft For Xbox 360 Console,NA,26.99,0
Skylander Giants Starter Pack Xbox 360 Game,Activision,60.35,0
Star Wars: Kinect Xbox 360 Game,LucasArts,59.95,0
Forza Horizon 2 Xbox 360,Microsoft,66.46,0
Halo 4 Limited Edition Xbox 360 Game,Microsoft,92.99,9.49
Grand Theft Auto 5 special edition Xbox 360 Game,Rockstar Games,179.95,0
Call of Duty Modern Warfare 2 Hardened Edition Xbox 360 Game Activision,Activision,158.95,0
Halo 3 Legendary Edition Xbox 360 Game,Microsoft,299.95,0
Dark Souls II Collector's Edition Xbox 360,Bandai Namco Entertainment America Inc,199.95,0
Xbox 360 500GB Special Edition Blue Console Bundle with Game Downloads of Call of Duty Ghosts and Call of Duty Black Ops 2,Microsoft,449.92,0
Inversion Xbox 360 Game,Bandai Namco Entertainment America Inc,23.26,0
Wolfenstein: The New Order Xbox 360,Bethesda Softworks,22.59,0
Resident Evil: Revelations 2 Xbox 360,Capcom,22.13,0
The LEGO Movie Videogame for Xbox 360,Warner Brothers,22.69,0
MX vs ATV: Untamed  Xbox 360,Nordic Games Publishing,22.69,0
Army of Two: Devil's Cartel Xbox 360 Game,Electronic Arts,20.13,0
Saints Row: The Third for Xbox 360,THQ,14.99,Special Shipping
Sniper: Ghost Warrior 2 Xbox 360,City Interactive,18.54,5.16
New Top Quality Hot Sale For Micro Soft Xbox 360 USB Wired Game Pad Slim PC Joypad Controller Blue,NA,17.99,0
Xbox 360 Game,THQ,16.01,0
Battlefield 3 Limited Edition Xbox 360 Game,Electronic Arts,17.08,0
Kinect Nat Geo TV Xbox 360 Game,Microsoft,9.99,0
DJ Hero 1 (Game Only) Xbox 360 Game,Activision,13.34,0
Fast & Furious: Showdown - Xbox 360,Activision,45.47,0
Star Wars: The Force Unleashed for Xbox 360,LucasArts,46.29,0
Microsoft G10-00025 AGE OF EMPIRES III WIN32,Microsoft,46.97,0
Just Dance: Disney Party XBOX 360,Ubisoft,58.26,0
Plants vs. Zombies for Xbox 360,PopCap Games| Inc.,47.64,0
Unreal Tournament 3 Xbox 360 Game,Midway,43.36,0
Marvel: Ultimate Alliance,Activision,43.00,0
Lego Star Wars: The Complete Saga - Xbox 360,LucasArts,42.98,0
Disney Infinity 3.0 Edition Starter Pack Bundle - Amazon Exclusive - Xbox 360,NA,48.53,0
F1 2011 Xbox 360 Game,Codemasters,42.45,0
Kinect Sports Ultimate Xbox 360 Game,Microsoft,41.99,0
Destiny: The Taken King - Xbox 360,Activision,22.99,0
NCAA Football 13 - Xbox 360,Electronic Arts,42.22,0
Men in Black 3 Xbox 360 Game,Activision,38.11,0
Nickelodeon Dance Xbox 360 Game,TAKE 2 INTERACTIVE,38.11,0
Def Jam Rapstar Xbox 360 Game,KONAMI,38.11,0
Major League Baseball 2K11 [Japan Import],2K GAMES,38.05,0
The Darkness,NA,37.93,0
Microsoft Kinect Rush: A Disney Pixar Adventure,Microsoft,36.95,0
De Blob 2 - Xbox 360,Nordic Games Publishing,36.62,0
Lego Indiana Jones: The Original Adventures,LucasArts,36.06,0
Call of Duty: Ghosts Hardened Edition Xbox 360,Activision,35.98,0
XBOX 360 Madden NFL 2006 - X360,Electronic Arts,31.81,0
Grid 2 Xbox 360,Warner Brothers,34.05,0
Monsters vs Aliens Xbox 360 Game,Activision,35.67,0
Pro Evolution Soccer 2012 Xbox 360 Game,KONAMI,11.89,Special Shipping
Resident Evil: Operation Raccoon City Xbox 360 Game,Capcom,31.15,0
Call of Duty: Black Ops Classics (Xbox 360),Activision,31.09,0
Skylanders Trap Team: Trap Master Wildfire Character Pack,Activision,31.24,0
Battlefield Bad Company 2 Ultimate Edition Xbox 360 Game,Electronic Arts,30.27,0
Virtua Tennis 3 Xbox 360 Game,Sega,29.15,0
The Darkness II Limited Edition Xbox 360 Game,TAKE 2 INTERACTIVE,29.49,0
Sims 3 Xbox 360 Game,Electronic Arts,29.07,0
Destiny: The Taken King Legendary Edition (English Only) - Xbox 360,Activision,28.98,0
Steel Battalion: Heavy Armor Xbox 360 Game,Capcom,14.89,0
Ultimate Stealth Triple Pack Xbox 360,SQUARE ENIX USA,27.85,0
Minecraft: Story Mode Season 2 - Xbox 360,NA,27.16,3.99
Quake 4 - Xbox 360,Bethesda Softworks,26.49,0
Mirror's Edge [Japan Import],Electronic Arts,26.85,0
Battlefield 3 Standard Edition Xbox 360 Game,Electronic Arts,26.89,Special Shipping
Rainbow Six: Vegas Xbox 360 Game,Ubisoft,26.73,0
Need for Speed Rivals Xbox 360 Game,Electronic Arts,25.96,0
Xbox 360 Game,SQUARE ENIX USA,25.89,Special Shipping
Electronic Arts 19418 My sims sky heroes x360,Electronic Arts,51.25,0
Penguins of Madagascar Dr. Blowhole Returns Xbox 360,THQ,51.28,0
Forza Motorsport 4 [E],Microsoft,51.44,0
WWE 2K16 - Xbox 360,2K GAMES,NoneNone,0
Far Cry 4 Xbox 360,Ubisoft,57.63,0
EA Rango,Electronic Arts,57.73,0
SCORE International Baja 1000 Xbox 360 Game,Activision,64.13,0
Lego Indiana Jones: The Original Adventures,LucasArts,61.80,0
Take-two Max Payne 3 X360 (39605) -,2K GAMES,67.64,0
Cars Mater-National Xbox 360 Game,THQ,79.45,0
Splinter Cell: Blacklist Xbox 360,Ubisoft,79.95,0
Alien: Isolation Nostromo Edition Xbox 360,Sega,89.95,0
avatar: the burning earth  xbox 360,THQ,85.34,0
Rocksmith 2014 Edition - Xbox One,Ubisoft,87.46,0
Injustice: Gods Among Us Collector's Edition Xbox 360 Game,Warner Brothers,99.95,0
Warriors Orochi 2 - Xbox 360,NA,100.54,0
Jurassic: The Hunted Xbox 360 Game,Activision,111.07,0
NBA 2K14 Super Fan Pk X360,2K GAMES,97.58,0
Guitar Hero Live Bundle Xbox 360,Activision,157.63,0
DJ Hero w/turn Table Xbox 360 Game,Activision,129.95,0
Tron: Evolution Collectors Edition Xbox 360 Game,Disney Interactive Studios,127.72,0
Assassins Creed: The Americas Collection  Xbox 360,Ubisoft,24.82,0
Logitech G PRO Flight Rudder Pedals,Logitech,320.39,0
Openwheeler Racing Wheel Stand Cockpit Red on Black | For Logitech G29 | G920 and Logitech G27 | G25 | Thrustmaster | Fanatec Wheels | Racing wheel & controllers NOT included,NA,717.39,0
Logitech G Saitek X52 Pro Flight Contol System,Logitech,332.39,0
Madden NFL 16 - Xbox 360,Electronic Arts,24.16,0
200-571 CH Products Fighterstick USB,CH Products,227.39,0
Rise of Nightmares Xbox 360 Game,Sega,24.89,Special Shipping
F1 2010 Xbox 360 Game,Codemasters,24.80,0
LEGO Star Wars: The Force Awakens - Xbox 360,Warner Brothers,16.99,Special Shipping
Xbox 360 Game,2K GAMES,23.26,0
Alpha Protocol Xbox 360 Game,Sega,23.26,0
Sniper Elite III Ultimate Edition Xbox 360,505 Games,30.31,0
Quantum theory Xbox 360 Game,KOEI TECMO AMERICA CORP.,23.26,0
Grand Slam Tennis 2 Xbox 360 Game,Electronic Arts,24.36,0
DJ Hero 2 Game Only Xbox 360 Game,Activision,22.20,0
Battlefield 4 Xbox 360 Game,Electronic Arts,9.85,0
Duke Nukem Forever Xbox 360 Game,2K GAMES,20.88,0
LEGO: Marvel Super Heroes - Xbox 360,Warner Brothers,21.78,0
Middle Earth: Shadow of Mordor Xbox 360,Warner Brothers,22.35,0
Nickelodeon Dance 2 - Xbox 360,NA,21.82,0
Tomb Raider,SQUARE ENIX USA,21.81,0
Disney Infinity 3.0 Edition: Star Wars Luke Skywalker Single Figure (No Retail Package),NA,21.56,0
Electronic Arts 9894 Shadows of the damned x360,Electronic Arts,22.32,0
NHL 2K9 Xbox 360 Game,2K GAMES,21.89,0
Need for Speed Rivals Xbox 360,Electronic Arts,22.41,0
Black Eyed Peas Experience Xbox 360 Game,Ubisoft,19.17,0
South Park: The Game Xbox 360,Ubisoft,19.99,2.99
Stormrise Xbox 360 Game,Sega,19.04,0
Warner Bros. Injustice 2 (Xbox One),Warner Brothers,19.98,0
Dance Central Xbox 360 Game,Microsoft,19.99,0
Dance Central Xbox 360 Game,Microsoft,20.22,0
Bethesda Brink,Bethesda Softworks,19.89,0
Skylanders Imaginators Graveclobber,Activision,18.99,0
The Beatles: Rock Band - Software Only Xbox 360 Game,Electronic Arts,19.09,0
DMC: Devil May Cry Xbox 360 Game,Capcom,15.61,0
Cars 2: The Video Game,Disney Interactive Studios,14.99,0
Sonic Unleashed Xbox 360 Game,Sega,17.34,0
Xbox 360 Game,Ubisoft,18.44,0
WWE 2K16 for Xbox 360 rated T - Teen,NA,17.65,0
Army of Two: 40th Day Xbox 360 Game,Electronic Arts,17.70,0
X-Talk Gaming Headset for Xbox 360?,Dreamgear,9.99,0
Borderlands 2 - Mac,Aspyr,8.29,0
Fallout 3,Bethesda Softworks,9.99,0
Pro Evolution Soccer 2013 Xbox 360 Game,KONAMI,9.99,0
Pictionary: Ultimate Edition Xbox 360 Game,THQ,9.99,0
Def Jam Rapstar (Xbox 360),KONAMI,3.99,7.99
Karaoke Revolution: Glee Volume 3 (Game Only) Xbox 360 Game,KONAMI,7.89,Special Shipping
JIMMY WHITE'S CUEBALL 2 [XBOX 360],BAM ENTERTAINMENT,12.43,0
Ghost Recon: Future Soldier Xbox 360 Game,Ubisoft,9.99,0
Guitar Hero: Live for Xbox 360 (Game ONLY),Activision,9.99,7.99
LEGO Lord of the Rings - Nintendo DS,Warner Brothers,22.29,0
Fantasia: Music Evolved Xbox 360,Disney Interactive Studios,7.39,0
Darksiders II - Xbox 360,THQ,10.21,0
Dungeon Siege 3 Xbox 360 Game,SQUARE ENIX USA,10.00,5.95
Fable: The Journey Xbox 360 Game,Microsoft,9.85,0
Activision Diablo III - Role Playing Game - DVD-ROM - Xbox 360,Activision,9.40,0
Skylanders SWAP Force Character Wash Buckler (Includes Trading Card and Internet Code| no retail packaging),Activision,0.99,7.99
The Sims 3 [Japan Import],Electronic Arts,45.38,0
Rock Band Jam Kit - Purple Tiger,PowerA,45.32,0
Cloudy with a Chance of Meatballs - Xbox 360,Ubisoft,46.21,0
[XBOX360 Game] Yoostar 2 : In The Movies _ EN  European version,NA,44.99,0
[XBOX360 Game] Michael Jackson The Experience _ EN Asia version,NA,44.99,0
Mass Effect Xbox 360 Game,Microsoft,44.95,0
Marvel Ultimate Alliance - Xbox,Activision,47.21,0
Nyko Power Adaptor for Kinect - Xbox 360,NYKO,46.51,0
Tony Hawk Shred Xbox 360 Game,Activision,27.73,0
JUST DANCE 2018 [E10],Ubisoft,46.37,0
Silent Hill HD Collection X360,KONAMI,47.01,0
Zoo Tycoon - Xbox 360,Microsoft,44.33,0
Electronic Arts - NFS Most Wanted X360,Electronic Arts,37.09,0
Stuntman: Ignition Xbox 360 Game,THQ,44.21,0
Need for Speed Rivals (Complete Edition) - Xbox 360,Electronic Arts,44.16,0
devil may cry 4 xbox 360,Capcom,43.72,0
Call of Duty 2 - Xbox 360,Activision,44.15,0
Prototype 2 Xbox 360 Game,Activision,44.12,0
FIFA 17 - Xbox 360,Electronic Arts,44.11,0
Disney Infinity 3.0 Edition Starter Pack Bundle - Amazon Exclusive - Wii U,NA,16.99,7.99
Skylanders SWAP Force Starter Pack - Xbox 360,Activision,46.51,0
Madden NFL 15 Ultimate Edition Xbox 360,Electronic Arts,32.99,Special Shipping
